dataset,model,base_f1_mean,focal_f1_mean,delta_f1_mean,base_precision_mean,focal_precision_mean,delta_precision_mean,base_recall_mean,focal_recall_mean,delta_recall_mean,base_loss_function,focal_loss_function
hrss_anomalous_optimized,cnn,0.4979695809913272,0.503870379832316,0.0059007988409887635,0.3960204984834284,0.3952175575984401,-0.0008029408849883346,0.6773717238833519,0.6958287190845329,0.018456995201181048,binary_crossentropy,binary_focal_crossentropy
hrss_anomalous_optimized,cnn_lstm_hybrid,0.5173659619288862,0.525742829364482,0.008376867435595847,0.4239917007232865,0.42521792904687894,0.0012262283235924265,0.6762643041712808,0.6895533407161314,0.013289036544850585,binary_crossentropy,binary_focal_crossentropy
hrss_anomalous_optimized,gru,0.4365775488929376,0.4397229133907237,0.0031453644977861295,0.3364530592326851,0.3325602211053437,-0.0038928381273413692,0.6397194536729421,0.7238833517903286,0.08416389811738645,binary_crossentropy,binary_focal_crossentropy
hrss_anomalous_optimized,lstm,0.38813415610721186,0.40430130445833273,0.016167148351120875,0.24520637160630412,0.2844294853568285,0.03922311375052437,0.9505352528608343,0.7925433739387228,-0.15799187892211153,binary_crossentropy,binary_focal_crossentropy
hrss_anomalous_optimized,rnn,0.44851106146834735,0.4400071621856932,-0.00850389928265416,0.3218775498355122,0.3185674562477467,-0.003310093587765517,0.770764119601329,0.7840531561461793,0.013289036544850363,binary_crossentropy,binary_focal_crossentropy
hrss_smote_optimized,cnn,0.8077556923604692,0.8010566058649409,-0.006699086495528306,0.7453270387576317,0.7363313045282274,-0.008995734229404362,0.8816988260490852,0.8793832819635004,-0.0023155440855848752,binary_crossentropy,binary_focal_crossentropy
hrss_smote_optimized,cnn_lstm_hybrid,0.9086171869262886,0.8972514711741257,-0.01136571575216283,0.8631054696511268,0.8575763521621133,-0.005529117489013524,0.959427020707206,0.9411239652377045,-0.018303055469501506,binary_crossentropy,binary_focal_crossentropy
hrss_smote_optimized,gru,0.7069363571235819,0.7064015554740081,-0.0005348016495738683,0.5725564155151484,0.5731665802685594,0.0006101647534110244,0.9240364947512925,0.9214960435602183,-0.0025404511910741556,binary_crossentropy,binary_focal_crossentropy
hrss_smote_optimized,lstm,0.7016338702925848,0.7000058043069924,-0.0016280659855923973,0.5624445151136741,0.5624852624215605,4.0747307886390693e-05,0.9324147949203082,0.9265708565314364,-0.005843938388871761,binary_crossentropy,binary_focal_crossentropy
hrss_smote_optimized,rnn,0.7057316777746268,0.7063661369951371,0.0006344592205103083,0.5670382785170398,0.5663334799275427,-0.0007047985894971243,0.9349528030543027,0.9388072543188875,0.003854451264584724,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gaussian_imbalanced,cnn,0.38832579408745144,0.3819335944518644,-0.006392199635587015,0.2557438431759743,0.23981790382651022,-0.015925939349464097,0.8117386489479513,0.9494278331487633,0.137689184200812,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gaussian_imbalanced,cnn_lstm_hybrid,0.40485911838914895,0.3994835598917301,-0.005375558497418831,0.2864909909602862,0.27044180899287557,-0.01604918196741062,0.6921373200442967,0.7785160575858251,0.08637873754152836,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gaussian_imbalanced,gru,0.39052843820240374,0.38209772306703504,-0.008430715135368694,0.2741266440896997,0.2515253654501592,-0.022601278639540534,0.6803248431155408,0.7966039128829827,0.11627906976744196,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gaussian_imbalanced,lstm,0.37314196751324663,0.3739130434782609,0.0007710759650142451,0.23151214170993262,0.22994652406417113,-0.0015656176457614912,0.9641934293097084,1.0,0.035806570690291584,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gaussian_imbalanced,rnn,0.39145609303658485,0.37733983248132685,-0.014116260555257998,0.2679553158392169,0.2658140433137454,-0.0021412725254714715,0.7430786267995569,0.735326688815061,-0.007751937984495916,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gmm_imbalanced,cnn,0.7045889671923327,0.6976144314059926,-0.006974535786340108,0.6390479630638016,0.6760495976838984,0.03700163462009676,0.7877445551864156,0.7272056109265411,-0.060538944259874494,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gmm_imbalanced,cnn_lstm_hybrid,0.8159031621553406,0.8323808660248745,0.016477703869533844,0.8809807423590094,0.8745384745357577,-0.006442267823251635,0.7615356220007383,0.7977113325950537,0.03617571059431535,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gmm_imbalanced,gru,0.44290601891104275,0.43876928398693615,-0.0041367349241066,0.3253521530691464,0.32959810057974165,0.00424594751059526,0.7268364710225175,0.7940199335548174,0.0671834625322999,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gmm_imbalanced,lstm,0.38344360587613485,0.3739130434782609,-0.009530562397873976,0.2560633979006593,0.22994652406417113,-0.02611687383648817,0.85234403839055,1.0,0.14765596160945005,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_gmm_imbalanced,rnn,0.42336977007461596,0.42302149635341885,-0.0003482737211971121,0.29031984611493594,0.34982674200756897,0.05950689589263303,0.8327796234772978,0.6179401993355481,-0.21483942414174972,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_multivariate_gaussian_imbalanced,cnn,0.4830094671115228,0.5039553074320583,0.02094584032053548,0.4077820001037861,0.3898235537649926,-0.01795844633879351,0.5957918050941307,0.7172388335179033,0.12144702842377264,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_multivariate_gaussian_imbalanced,cnn_lstm_hybrid,0.5075752044937373,0.5067467898922776,-0.0008284146014596594,0.42231303721116964,0.4285777570211069,0.006264719809937258,0.6489479512735327,0.6267995570321151,-0.02214839424141757,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_multivariate_gaussian_imbalanced,gru,0.436785576056141,0.4367428503356013,-4.272572053970469e-05,0.33511726241482026,0.31069460438834345,-0.024422658026476807,0.6651901070505721,0.7467700258397932,0.0815799187892211,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_multivariate_gaussian_imbalanced,lstm,0.37432064233043233,0.374161351233455,-0.0001592910969773209,0.23108747899572832,0.2303940098057745,-0.0006934691899538048,0.9852344038390549,0.995201181247693,0.00996677740863805,binary_crossentropy,binary_focal_crossentropy
hrss_synthetic_multivariate_gaussian_imbalanced,rnn,0.4288167955912918,0.4211734129916738,-0.007643382599617998,0.30757036152229683,0.30921561042471285,0.0016452489024160188,0.7511997046880768,0.7423403469915097,-0.008859357696567094,binary_crossentropy,binary_focal_crossentropy
